DlangUI log file
2016-12-20 02:44:19.156 D  keydown, keyFlags=0
2016-12-20 02:44:19.281 D  keydown, keyFlags=0
2016-12-20 02:44:19.328 D  keydown, keyFlags=0
2016-12-20 02:44:19.375 D  keydown, keyFlags=0
2016-12-20 02:44:19.406 D  keydown, keyFlags=0
2016-12-20 02:44:19.469 D  keydown, keyFlags=0
2016-12-20 02:44:19.562 D  keydown, keyFlags=0
2016-12-20 02:44:19.609 D  keydown, keyFlags=0
2016-12-20 02:44:19.640 D  keydown, keyFlags=0
2016-12-20 02:44:19.656 D  keydown, keyFlags=0
2016-12-20 02:44:19.750 D  keydown, keyFlags=0
2016-12-20 02:44:19.765 D  keydown, keyFlags=0
2016-12-20 02:44:19.844 D  keydown, keyFlags=0
2016-12-20 02:44:19.875 D  keydown, keyFlags=0
2016-12-20 02:44:19.969 D  keydown, keyFlags=0
2016-12-20 02:44:19.984 D  keydown, keyFlags=0
2016-12-20 02:44:20.203 D  keydown, keyFlags=0
2016-12-20 02:44:20.547 E  Abnormal UIAppMain termination
2016-12-20 02:44:20.547 E  UIAppMain exception: std.json.JSONException@std\json.d(473): Key not found: Search
----------------
0x00575481 in pure @safe void std.exception.bailOut!(std.json.JSONException).bailOut(immutable(char)[], uint, const(char[]))
0x0043B82A in D7dlangui4core7signals50__T6SignalTC7dlangui7widgets6widget12OnKeyHandlerZ6Signal4emitMFC7dlangui7widgets6widget6WidgetC7dlangui4core6events8KeyEventZ14__foreachbody4MFKDFC7dlangui7widgets6widget6WidgetC7dlangui4core6events8KeyEventZbZi at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\core\signals.d(215)
0x0044B7B1 in int dlangui.core.collections.Collection!(bool delegate(dlangui.widgets.widget.Widget, dlangui.core.events.KeyEvent), false).Collection.opApply(int delegate(ref bool delegate(dlangui.widgets.widget.Widget, dlangui.core.events.KeyEvent))) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\core\collections.d(158)
0x0043B7E0 in bool dlangui.core.signals.Signal!(dlangui.widgets.widget.OnKeyHandler).Signal.emit(dlangui.widgets.widget.Widget, dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\core\signals.d(214)
0x0043B790 in bool dlangui.core.signals.Signal!(dlangui.widgets.widget.OnKeyHandler).Signal.opCall(dlangui.widgets.widget.Widget, dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\core\signals.d(211)
0x00447F8E in bool dlangui.widgets.widget.Widget.onKeyEvent(dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\widgets\widget.d(1176)
0x00466B69 in bool dlangui.widgets.editors.EditWidgetBase.onKeyEvent(dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\widgets\editors.d(1743)
0x0043B105 in bool dlangui.widgets.editors.EditLine.onKeyEvent(dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\widgets\editors.d(2016)
0x0048CAF5 in bool dlangui.platforms.common.platform.Window.dispatchKeyEvent(dlangui.core.events.KeyEvent) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\common\platform.d(701)
0x004AF650 in bool dlangui.platforms.windows.winapp.Win32Window.onKey(dlangui.core.events.KeyAction, uint, int, dchar, bool) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\windows\winapp.d(881)
0x004B63FF in WndProc at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\windows\winapp.d(1400)
0x74BAD2B3 in SetManipulationInputTarget
0x74B8E88A in DispatchMessageW
0x74B8DF17 in CallWindowProcW
0x7059CE43
0x74BAD2B3 in SetManipulationInputTarget
0x74B8E88A in DispatchMessageW
0x74B8E1E4 in DispatchMessageW
0x74B8DFA0 in DispatchMessageW
0x00472AC0 in int dlangui.platforms.windows.winapp.Win32Platform.enterMessageLoop() at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\windows\winapp.d(937)
0x004244B7 in UIAppMain at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\source\app.d(229)
0x0045B1FA in int dlangui.platforms.windows.winapp.myWinMain(void*, void*, char*, int) at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\windows\winapp.d(1259)
0x0043989C in DLANGUIWinMain at C:\Users\elodin\gdrive\Dev\D\OMDBSearch\..\..\..\..\AppData\Roaming\dub\packages\dlangui-0.9.46\dlangui\src\dlangui\platforms\windows\winapp.d(1140)
